EventId,EventTemplate,Occurrences,isNewCluster
3b7d8149,Unexpected event.,2,True
af636f2e,<GET_5XX> <GET_5XX> <GET_5XX>,54,True
6d0b12a3,Traceback <DevicesSet>:,1,True
531ca119,DBAPIevent exp wrapped from <DevicesSet> <RerserveParas>,41,True
ba34c3a9,Unexpected event while reporting service status,9,True
ad50736d,exp encountered during network rescheduling,1,True
02f23c06,exp during message handling: <DevicesSet>,5,True
d44f669c,Returning exp <DevicesSet> to caller,4,True
c53ac829,<RerserveParas>,1,True
c53ac829,<RerserveParas>,1,True
c53ac829,<RerserveParas>,1,True
c53ac829,<RerserveParas>,1,True
f1ae5644,index failed,14,True
c99f530f,<RESP_5XX> <RESP_5XX> <RESP_5XX>,5,True
1f5bbc8f,event message: <ServiceDict> _handle_fault_response <LogOccurAddr>,5,True
b711b6f9,An event occurred while refreshing the network cache.,1,True
db074e61,Bad response code while validating token: 500,4,True
c28159fd,Unable to validate token: Failed to fetch token data from identity server,4,True
eccfef52,Request returned failure status: 500 request <LogOccurAddr>,1,True
ba463e2e,Unexpected exp in API method,19,True
7b29b162,Returning 500 to user: Unexpected API event. Please report this at http://bugs.launchpad.net/nova/ and attach the Nova API log if possible.,19,True
229efaeb,HTTP exp thrown: Unexpected API event. Please report this at http://bugs.launchpad.net/nova/ and attach the Nova API log if possible.,19,True
981ac4d6,Unable to get images,2,True
2881d449,Caught event: <DevicesSet>,3,True
67a7ce3b,Registry client request GET <*> raised Serverevent,3,True
283d9748,Caught event: The request returned 500 Internal Server event.,3,True
988f9fdb,Failed to get metadata for instance id: <InstanceId>,2,True
ad14a134,Remote metadata server experienced an internal server event.,2,True
e09c3475,"couldn't obtain the vcpu count from domain id: <InstanceId>, exp: Requested operation is not valid: cpu affinity is not supported",1,True
71ae60cb,Unable to show image <InstanceId>,1,True
f97daabc,<HEAD_5XX> <HEAD_5XX> <HEAD_5XX>,1,True
c0a435dd,Caught event: Request Failed: internal server event while processing your request.,2,True
398cb896,http://controller:8774/v2.1/<ID>/servers/detail?limit=21&project_id=<ID> returned with HTTP 500,2,True
4439c7da,Returning 500 to user: The server has either erred or is incapable of performing the requested operation. __call__ <LogOccurAddr>,2,True
69f55169,Resuming,1,True
94cdcc95,Refresh firewall rules,1,True
73f2d28c,Removed pending event for <InstanceId> due to lifecycle event _event_emit_delayed <LogOccurAddr>,1,True
37629c45,Instance soft rebooted successfully.,1,True
9589d170,Didn't find any instances for network info cache update. _heal_instance_info_cache <LogOccurAddr>,2,False
d3b10e9e,Removed dead child 29194,1,True
75f75e51,Started child <*>,321,False
187eac21,Child 273333 exiting normally,1,True
